"background size","chart color","description","Evidence codes","intersecting genes","intersection size","network.SUID","nodes.SUID","p-value","precision","query size","recall","source","term id","term name","term size"
"10842","","Negative regulation of NOTCH4 signaling","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|WDR4","13","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|226091","6.514781109681839E-12","0.10569105691056911","123","0.24528301886792453","Reactome pathways","REAC:R-HSA-9604323","Negative regulation of NOTCH4 signaling","53"
"21031","","""The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."" [GOC:ai, GOC:dph, GOC:tb]","""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","UBE2L3|HERC2|PSMD4|BBS1|HAL|UBXN1|ZNF250|E6|Psmb5|TUBB2B|PIGF|PAK1|RNASE7|b3kpl7_human|RPL17|CA10|PSMC1|TTC3|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31|TAT|Arhgef15|SNAPC3|CELA2B|RAD23B|ACTBL2","32","225133","225923|225507|225255|226111|226435|226755|225867|225169|226239|226699|226221|225163|226591|225351|226595|226115|226243|226031|225991|226457|226409|225345|225683|226139|226255|226315|225217|225491|225367|226127|225771|226349","7.812539075805911E-12","0.18823529411764706","170","0.043835616438356165","Gene Ontology Biological Process","GO:0051603","proteolysis involved in protein catabolic process","730"
"10842","","TCR signaling","""REAC""","PSMD4|TP53BP2|E6|HIST2H2BF|PIGF|PAK1|RNASE7|CA10|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31","17","225133","225255|225805|225169|225955|226221|225163|226591|226115|226243|225991|226457|226409|225345|225683|226139|226255|226315","8.29631740222792E-12","0.13821138211382114","123","0.14166666666666666","Reactome pathways","REAC:R-HSA-202403","TCR signaling","120"
"10842","","AUF1 (hnRNP D0) binds and destabilizes mRNA","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|UBC","13","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|225383","8.499393012403515E-12","0.10569105691056911","123","0.24074074074074073","Reactome pathways","REAC:R-HSA-450408","AUF1 (hnRNP D0) binds and destabilizes mRNA","54"
"22097","","""A multisubunit complex, which caps one or both ends of the proteasome core complex. This complex recognizes and unfolds ubiquitinated proteins, and translocates them to the proteasome core complex."" [GOC:mtg_sensu, GOC:rb]","""TAS""|""IMP""|""IBA""|""IEA""|""IDA""","PSMD4|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|PSMD12","9","225133","225255|226221|225163|226591|225991|226457|226409|225345|226255","1.3579790402101343E-11","0.05142857142857143","175","0.4090909090909091","Gene Ontology Cellular Component branch","GO:0005838","proteasome regulatory particle","22"
"10842","","Signaling by ROBO receptors","""REAC""","PSMD4|SMARCC2|MARF1|TP53BP2|PARVA|FAF2|E6|HIST2H2BF|AFTPH|PIGF|PAK1|RNASE7|TEPSIN|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|UBC","21","225133","225255|226295|225361|225805|225995|226147|225169|225955|226035|226221|225163|226591|226307|225991|226457|226409|225345|225683|226139|226255|225383","1.3951751649888291E-11","0.17073170731707318","123","0.0967741935483871","Reactome pathways","REAC:R-HSA-376176","Signaling by ROBO receptors","217"
"10842","","Orc1 removal from chromatin","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TRIM65|TTC23L","14","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|226087|225819","1.6143730621833956E-11","0.11382113821138211","123","0.19718309859154928","Reactome pathways","REAC:R-HSA-68949","Orc1 removal from chromatin","71"
"10842","","Stabilization of p53","""REAC""","PSMD4|LARS1|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|226491|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.825058296663948E-11","0.10569105691056911","123","0.22807017543859648","Reactome pathways","REAC:R-HSA-69541","Stabilization of p53","57"
"21031","","""The chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:mah]","""NAS""|""TAS""|""IGI""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","PHB1|UBE2L3|HERC2|PSMD4|BBS1|HAL|UBXN1|ZNF250|MEOX2|E6|Psmb5|TUBB2B|PIGF|PAK1|RNASE7|b3kpl7_human|RPL17|CA10|PSMC1|TTC3|SERHL2|PRAG1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31|TAT|Arhgef15|SNAPC3|CELA2B|RAD23B|ACTBL2","36","225133","226543|225923|225507|225255|226111|226435|226755|225867|225669|225169|226239|226699|226221|225163|226591|225351|226595|226115|226243|226031|226289|226003|225991|226457|226409|225345|225683|226139|226255|226315|225217|225491|225367|226127|225771|226349","1.8486870275323934E-11","0.21176470588235294","170","0.0371900826446281","Gene Ontology Biological Process","GO:0030163","protein catabolic process","968"
"22097","","""A protein-containing complex located intracellularly."" [GOC:pg]","""IPI""|""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","EIF4A1|UBE2L3|PSMD4|MTAP|UBXN1|E6|Psmb5|RARA|PIGF|PAK1|RNASE7|RPL17|CA10|PSMC4|PSMC1|TTC3|ZFAND6|NOMO2|KDM2A|H2AC4|ATG9A|S100A4|PSMD12|TMEM31|UBC|PIP|TAT|Arhgef15|CEP170|CELA2B|RAD23B|MCM6|EAPP|ASAP3","34","225133","226399|225923|225255|226519|226755|225169|226239|226011|226221|225163|226591|226595|226115|226247|226243|226031|226749|225991|226457|226409|225345|226277|226255|226315|225383|226549|225217|225491|226369|226127|225771|225301|225975|225341","3.6025490747779246E-11","0.19428571428571428","175","0.035751840168243953","Gene Ontology Cellular Component branch","GO:0140535","intracellular protein-containing complex","951"
"10842","","Switching of origins to a post-replicative state","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TRIM65|TTC23L","15","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255|226087|225819","3.672003652222977E-11","0.12195121951219512","123","0.16304347826086957","Reactome pathways","REAC:R-HSA-69052","Switching of origins to a post-replicative state","92"
"10842","","Defective CFTR causes cystic fibrosis","""REAC""","PSMD4|RPL29|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|226621|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","4.712354665392476E-11","0.10569105691056911","123","0.21311475409836064","Reactome pathways","REAC:R-HSA-5678895","Defective CFTR causes cystic fibrosis","61"
"22097","","""A protein complex, that caps one or both ends of the proteasome core complex and regulates entry into, or exit from, the proteasome core complex."" [GOC:mtg_sensu]","""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","PSMD4|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|PSMD12","9","225133","225255|226221|225163|226591|225991|226457|226409|225345|226255","5.465047318889885E-11","0.05142857142857143","175","0.36","Gene Ontology Cellular Component branch","GO:0022624","proteasome accessory complex","25"
"10842","","The role of GTSE1 in G2/M progression after G2 checkpoint","""REAC""","PSMD4|LARS1|E6|TCF19|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","14","225133","225255|226491|225169|226027|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","7.735872657630756E-11","0.11382113821138211","123","0.17721518987341772","Reactome pathways","REAC:R-HSA-8852276","The role of GTSE1 in G2/M progression after G2 checkpoint","79"
"10842","","CLEC7A (Dectin-1) signaling","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|CA10|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31","15","225133","225255|225169|226221|225163|226591|226115|226243|225991|226457|226409|225345|225683|226139|226255|226315","8.27350396095946E-11","0.12195121951219512","123","0.15463917525773196","Reactome pathways","REAC:R-HSA-5607764","CLEC7A (Dectin-1) signaling","97"
"10842","","Asymmetric localization of PCP proteins","""REAC""","PSMD4|MTUS1|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|226529|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","9.16314625575757E-11","0.10569105691056911","123","0.203125","Reactome pathways","REAC:R-HSA-4608870","Asymmetric localization of PCP proteins","64"
"10842","","Autodegradation of Cdh1 by Cdh1:APC/C","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","9.16314625575757E-11","0.10569105691056911","123","0.203125","Reactome pathways","REAC:R-HSA-174084","Autodegradation of Cdh1 by Cdh1:APC/C","64"
"10842","","Regulation of activated PAK-2p34 by proteasome mediated degradation","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","9.337192448965945E-11","0.0975609756097561","123","0.24","Reactome pathways","REAC:R-HSA-211733","Regulation of activated PAK-2p34 by proteasome mediated degradation","50"
"10842","","Downstream TCR signaling","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|CA10|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TMEM31","15","225133","225255|225169|226221|225163|226591|226115|226243|225991|226457|226409|225345|225683|226139|226255|226315","9.677001351389898E-11","0.12195121951219512","123","0.15306122448979592","Reactome pathways","REAC:R-HSA-202424","Downstream TCR signaling","98"
"21031","","""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein."" [GOC:go_curators]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","UBE2L3|HERC2|PSMD4|HAL|UBXN1|ZNF250|E6|Psmb5|TUBB2B|PIGF|PAK1|RNASE7|b3kpl7_human|RPL17|CA10|PSMC1|TTC3|NOMO2|KDM2A|H2AC4|ATG9A|PSMD12|TMEM31|TAT|Arhgef15|CELA2B|RAD23B|ACTBL2","28","225133","225923|225507|225255|226435|226755|225867|225169|226239|226699|226221|225163|226591|225351|226595|226115|226243|226031|225991|226457|226409|225345|226255|226315|225217|225491|226127|225771|226349","1.0315300967315719E-10","0.16470588235294117","170","0.04674457429048414","Gene Ontology Biological Process","GO:0006511","ubiquitin-dependent protein catabolic process","599"
"10842","","p53-Dependent G1/S DNA damage checkpoint","""REAC""","PSMD4|LARS1|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|226491|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.3995093092586732E-10","0.10569105691056911","123","0.19696969696969696","Reactome pathways","REAC:R-HSA-69580","p53-Dependent G1/S DNA damage checkpoint","66"
"10842","","p53-Dependent G1 DNA Damage Response","""REAC""","PSMD4|LARS1|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|226491|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.3995093092586732E-10","0.10569105691056911","123","0.19696969696969696","Reactome pathways","REAC:R-HSA-69563","p53-Dependent G1 DNA Damage Response","66"
"10842","","Synthesis of DNA","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|TRIM65|TTC23L|EAPP","16","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255|226087|225819|225975","1.5433348553400347E-10","0.13008130081300814","123","0.1322314049586777","Reactome pathways","REAC:R-HSA-69239","Synthesis of DNA","121"
"10842","","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.5573985174660484E-10","0.0975609756097561","123","0.23076923076923078","Reactome pathways","REAC:R-HSA-9762114","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","52"
"10842","","p53-Independent G1/S DNA damage checkpoint","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.5573985174660484E-10","0.0975609756097561","123","0.23076923076923078","Reactome pathways","REAC:R-HSA-69613","p53-Independent G1/S DNA damage checkpoint","52"
"10842","","Ubiquitin-dependent degradation of Cyclin D","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.5573985174660484E-10","0.0975609756097561","123","0.23076923076923078","Reactome pathways","REAC:R-HSA-75815","Ubiquitin-dependent degradation of Cyclin D","52"
"10842","","p53-Independent DNA Damage Response","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.5573985174660484E-10","0.0975609756097561","123","0.23076923076923078","Reactome pathways","REAC:R-HSA-69610","p53-Independent DNA Damage Response","52"
"10842","","Vpu mediated degradation of CD4","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.5573985174660484E-10","0.0975609756097561","123","0.23076923076923078","Reactome pathways","REAC:R-HSA-180534","Vpu mediated degradation of CD4","52"
"10842","","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.5573985174660484E-10","0.0975609756097561","123","0.23076923076923078","Reactome pathways","REAC:R-HSA-69601","Ubiquitin Mediated Degradation of Phosphorylated Cdc25A","52"
"10842","","Vif-mediated degradation of APOBEC3G","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.9941548217692335E-10","0.0975609756097561","123","0.22641509433962265","Reactome pathways","REAC:R-HSA-180585","Vif-mediated degradation of APOBEC3G","53"
"10842","","Regulation of Apoptosis","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","1.9941548217692335E-10","0.0975609756097561","123","0.22641509433962265","Reactome pathways","REAC:R-HSA-169911","Regulation of Apoptosis","53"
"10842","","APC/C:Cdc20 mediated degradation of Securin","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|PSMC1|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|225169|226221|225163|226591|226243|225991|226457|226409|225345|225683|226139|226255","2.1064715196030758E-10","0.10569105691056911","123","0.19117647058823528","Reactome pathways","REAC:R-HSA-174154","APC/C:Cdc20 mediated degradation of Securin","68"
"10842","","G1/S DNA Damage Checkpoints","""REAC""","PSMD4|LARS1|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","13","225133","225255|226491|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","2.1064715196030758E-10","0.10569105691056911","123","0.19117647058823528","Reactome pathways","REAC:R-HSA-69615","G1/S DNA Damage Checkpoints","68"
"10842","","Regulation of RUNX3 expression and activity","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","2.53962936223929E-10","0.0975609756097561","123","0.2222222222222222","Reactome pathways","REAC:R-HSA-8941858","Regulation of RUNX3 expression and activity","54"
"10842","","Regulation of expression of SLITs and ROBOs","""REAC""","PSMD4|SMARCC2|MARF1|PARVA|E6|AFTPH|PIGF|PAK1|RNASE7|TEPSIN|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|UBC","18","225133","225255|226295|225361|225995|225169|226035|226221|225163|226591|226307|225991|226457|226409|225345|225683|226139|226255|225383","2.6106260654557963E-10","0.14634146341463414","123","0.10526315789473684","Reactome pathways","REAC:R-HSA-9010553","Regulation of expression of SLITs and ROBOs","171"
"10842","","Regulation of mRNA stability by proteins that bind AU-rich elements","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12|UBC|WDR4","14","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255|225383|226091","2.640745070890452E-10","0.11382113821138211","123","0.16279069767441862","Reactome pathways","REAC:R-HSA-450531","Regulation of mRNA stability by proteins that bind AU-rich elements","86"
"21031","","""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome."" [GOC:go_curators]","""NAS""|""TAS""|""IMP""|""ISS""|""IBA""|""IEA""|""IDA""","HERC2|PSMD4|HAL|UBXN1|ZNF250|E6|Psmb5|PIGF|PAK1|RNASE7|PSMC1|TTC3|NOMO2|KDM2A|H2AC4|ATG9A|PSMD12|TMEM31|TAT|Arhgef15|CELA2B|RAD23B|ACTBL2","23","225133","225507|225255|226435|226755|225867|225169|226239|226221|225163|226591|226243|226031|225991|226457|226409|225345|226255|226315|225217|225491|226127|225771|226349","3.1698736508310963E-10","0.13529411764705881","170","0.0575","Gene Ontology Biological Process","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","400"
"10842","","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","""REAC""","PSMD4|E6|PIGF|PAK1|RNASE7|NOMO2|KDM2A|H2AC4|ATG9A|MID2|DOK4|PSMD12","12","225133","225255|225169|226221|225163|226591|225991|226457|226409|225345|225683|226139|226255","3.2175956428274234E-10","0.0975609756097561","123","0.21818181818181817","Reactome pathways","REAC:R-HSA-8854050","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","55"
